"provinsi","kabupaten","id"
LAMPUNG,TULANG BAWANG BARAT,"478"
SUMATERA UTARA,NIAS,"479"
NUSA TENGGARA TIMUR,ROTE NDAO,"480"
SUMATERA UTARA,LANGKAT,"481"
ACEH,ACEH BARAT,"482"
DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,"483"
SUMATERA SELATAN,MUARA ENIM,"484"
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,"485"
ACEH,ACEH TIMUR,"486"
SULAWESI TENGAH,PALU,"487"
BANTEN,CILEGON,"488"
SUMATERA BARAT,PARIAMAN,"489"
RIAU,D U M A I,"490"
SUMATERA BARAT,PAYAKUMBUH,"491"
KEPULAUAN BANGKA BELITUNG,PANGKAL PINANG,"492"
NUSA TENGGARA TIMUR,SUMBA TIMUR,"493"
RIAU,PELALAWAN,"494"
NUSA TENGGARA BARAT,LOMBOK BARAT,"495"
LAMPUNG,TANGGAMUS,"496"
SUMATERA UTARA,TOBA SAMOSIR,"497"
