"id","provinsi","kabupaten","kecamatan","id_kabupaten"
"286",BANTEN,TANGERANG,GUNUNG KALER,"344"
"287",MALUKU,SERAM BAGIAN BARAT,KAIRATU,"390"
"288",JAWA TENGAH,MAGELANG,TEGALREJO,"318"
"289",KALIMANTAN UTARA,BULUNGAN,PESO HILIR,"370"
"290",SULAWESI SELATAN,LUWU,BELOPA,"292"
"291",BANTEN,LEBAK,LEUWIDAMAR,"338"
"292",RIAU,KAMPAR,TAPUNG HILIR,"311"
"293",SULAWESI SELATAN,KEPULAUAN SELAYAR,BONTOHARU,"458"
"294",JAWA BARAT,TASIKMALAYA,CIKATOMAS,"395"
"295",KALIMANTAN TIMUR,KUTAI TIMUR,BUSANG,"280"
"296",JAWA TENGAH,SEMARANG,PRINGAPUS,"201"
"297",KALIMANTAN TENGAH,KATINGAN,TASIK PAYAWAN,"381"
"298",MALUKU,MALUKU TENGAH,TEON NILA SERUA,"16"
"299",SULAWESI TENGGARA,KONAWE,LAMBUYA,"174"
"300",SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,"385"
"302",JAWA BARAT,MAJALENGKA,CIGASONG,"219"
"303",SULAWESI TENGGARA,WAKATOBI,TOMIA,"446"
"304",KALIMANTAN BARAT,LANDAK,MERANTI,"75"
"305",DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,"43"
"306",SULAWESI UTARA,BOLAANG MONGONDOW,POIGAR,"30"
"307",DKI JAKARTA,JAKARTA UTARA,CILINCING,"256"
"308",KALIMANTAN BARAT,PONTIANAK,PONTIANAK TIMUR,"392"
"309",LAMPUNG,PRINGSEWU,GADING REJO,"421"
"310",SUMATERA BARAT,PESISIR SELATAN,BAYANG,"375"
"311",ACEH,BENER MERIAH,BANDAR,"366"
"312",JAWA TIMUR,JEMBER,SUMBERSARI,"26"
"313",NUSA TENGGARA TIMUR,SUMBA BARAT,LABOYA BARAT,"406"
"314",JAWA TENGAH,PURWOREJO,BAYAN,"182"
"315",PAPUA,YAHUKIMO,PASEMA,"397"
"316",SUMATERA SELATAN,LAHAT,TANJUNG SAKTI PUMU,"297"
"317",NUSA TENGGARA TIMUR,SABU RAIJUA,SABU TENGAH,"146"
"318",JAWA TIMUR,PROBOLINGGO,WONOMERTO,"466"
"319",JAMBI,BATANG HARI,MERSAM,"327"
"320",PAPUA,TOLIKARA,BOKONERI,"141"
"321",RIAU,KEPULAUAN MERANTI,TEBING TINGGI BARAT,"102"
"322",SULAWESI SELATAN,LUWU UTARA,BAEBUNTA,"213"
"323",BANTEN,PANDEGLANG,PULOSARI,"154"
"324",JAWA TIMUR,MALANG,DONOMULYO,"39"
"325",JAWA TIMUR,SURABAYA,BENOWO,"475"
"326",BANTEN,SERANG,TIRTAYASA,"198"
"327",SULAWESI TENGAH,PARIGI MOUTONG,TINOMBO,"163"
"328",KALIMANTAN TIMUR,KUTAI KARTANEGARA,SEBULU,"212"
"329",JAWA TENGAH,TEMANGGUNG,KLEDUNG,"398"
"330",KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,DENDANG,"485"
"331",JAWA TIMUR,MALANG,SUMBER PUCUNG,"39"
"332",SULAWESI TENGGARA,KONAWE KEPULAUAN,WAWONII UTARA,"228"
"333",SUMATERA UTARA,DANAU TOBA,DANAU TOBA,"1"
"334",ACEH,ACEH UTARA,MATANGKULI,"323"
"335",MALUKU UTARA,TERNATE,PULAU TERNATE,"417"
"336",ACEH,ACEH BESAR,PEUKAN BADA,"310"
"337",NUSA TENGGARA TIMUR,KUPANG,TAKARI,"468"
"338",JAWA TIMUR,BLITAR,SELOPURO,"234"
"339",PAPUA,JAYAPURA,JAYAPURA UTARA,"115"
"340",JAWA BARAT,BANDUNG,GEDEBAGE,"224"
"341",RIAU,INDRAGIRI HILIR,KEMUNING,"49"
"342",JAWA TIMUR,NGANJUK,NGRONGGOT,"473"
"343",SUMATERA UTARA,SIMALUNGUN,GIRSANG SIPANGAN BOLON,"258"
"344",JAWA TENGAH,KEBUMEN,BUAYAN,"264"
"345",ACEH,ACEH SELATAN,KLUET UTARA,"149"
"346",NUSA TENGGARA TIMUR,SIKKA,TALIBURA,"170"
"347",JAWA TIMUR,JOMBANG,JOGO ROTO,"67"
"348",SULAWESI SELATAN,TANA TORAJA,MAKALE SELATAN,"239"
"349",NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,BIBOKI UTARA,"96"
"350",SULAWESI SELATAN,BONE,TANETE RIATTANG,"248"
"351",LAMPUNG,BANDAR LAMPUNG,RAJABASA,"336"
"352",SUMATERA SELATAN,LAHAT,LAHAT SELATAN,"297"
"353",PAPUA,BIAK NUMFOR,BIAK TIMUR,"229"
"354",ACEH,ACEH TENGGARA,LAWE SUMUR,"308"
"355",ACEH,GAYO LUES,TERANGUN,"17"
"356",KALIMANTAN BARAT,SAMBAS,SAMBAS,"121"
"357",PAPUA BARAT,SORONG,SORONG UTARA,"55"
"358",KEPULAUAN RIAU,KARIMUN,MORO,"401"
"360",JAMBI,TEBO,TEBO TENGAH,"247"
"361",LAMPUNG,TANGGAMUS,KOTA AGUNG TIMUR,"496"
"362",KALIMANTAN BARAT,KAPUAS HULU,BOYAN TANJUNG,"410"
"363",JAWA BARAT,BOGOR,CARINGIN,"69"
"364",BALI,TABANAN,PUPUAN,"361"
"365",JAWA TIMUR,NGANJUK,SAWAHAN,"473"
"366",LAMPUNG,LAMPUNG UTARA,KOTABUMI,"240"
"367",SULAWESI SELATAN,SOPPENG,LILI RIAJA,"83"
"368",JAWA TENGAH,PATI,TAMBAKROMO,"87"
"369",JAWA TIMUR,PONOROGO,SUKOREJO,"18"
"370",MALUKU,KEPULAUAN ARU,SIR-SIR,"204"
"371",KEPULAUAN RIAU,NATUNA,PULAU TIGA,"400"
"372",SUMATERA UTARA,PADANG LAWAS,ULU BARUMUN,"349"
"373",JAWA BARAT,CIANJUR,LELES,"188"
"374",SULAWESI SELATAN,TORAJA UTARA,KESU,"286"
"375",PAPUA,SUPIORI,SUPIORI BARAT,"89"
"376",KALIMANTAN TIMUR,BERAU,TELUK BAYUR,"58"
"377",KALIMANTAN BARAT,BENGKAYANG,SUNGAI BETUNG,"353"
"378",LAMPUNG,WAY KANAN,NEGERI AGUNG,"64"
"379",MALUKU UTARA,PULAU TALIABU,TALIABU UTARA,"68"
"380",JAWA TIMUR,JEMBER,JOMBANG,"26"
"381",JAWA TENGAH,BREBES,SALEM,"107"
"382",RIAU,S I A K,SUNGAI APIT,"42"
"383",JAWA TENGAH,BOYOLALI,BOYOLALI,"282"
"384",JAWA BARAT,CIREBON,WALED,"447"
"385",JAWA TENGAH,KLATEN,TULUNG,"465"
"386",JAWA BARAT,SUMEDANG,SUMEDANG UTARA,"456"
"387",RIAU,KAMPAR,BANGKINANG,"311"
"388",SUMATERA UTARA,SERDANG BEDAGAI,PANTAI CERMIN,"231"
"389",SUMATERA SELATAN,PRABUMULIH,PRABUMULIH UTARA,"222"
"390",SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,BUAY MADANG TIMUR,"339"
